FUND ID,NAME,VINTAGE / INCEPTION YEAR,DATE REPORTED,CALLED (%),DPI (%),RVPI (%),NET IRR (%),NET MULTIPLE (X),MEDIAN BENCHMARK NET IRR (%),PREQIN QUARTILE RANK,SOURCE,PE: PRIMARY STRATEGY,PRIMARY REGION FOCUS,LP
20176,Centerbridge Capital Partners II,2011,2024-09-30,135.3762676,88.9233852,0.0082134,-8.0,0.889316,12.2,4.0,,Buyout,North America,Sloan Kettering Cancer Center
21341,Berkshire Fund VIII,2011,2024-09-30,113.2866667,199.5409875,24.074619,16.6,2.2361561,13.6,2.0,Maine Public Employees' Retirement System,Buyout,North America,Sloan Kettering Cancer Center
10252,Pacific Equity Partners Fund IV,2008,2024-09-30,99.3,137.4,8.1,8.8,1.455,13.0,4.0,Pacific Equity Partners,Buyout,Australasia,Sloan Kettering Cancer Center
10972,Madison Dearborn Capital Partners VI,2008,2024-09-30,106.5,225.0,0.0,23.2,2.25,14.35,1.0,Madison Dearborn Partners,Buyout,North America,Sloan Kettering Cancer Center
11859,First Reserve Fund XII,2008,2024-09-30,114.0333333,54.8377667,0.0,-16.4,0.5483777,8.1,4.0,Oregon State Treasury,Growth,North America,Sloan Kettering Cancer Center
12374,RHO Ventures VI,2008,2024-06-30,103.86726,141.8866253,28.1133728,5.1,1.7,9.6,3.0,Indiana Public Retirement System,,North America,Sloan Kettering Cancer Center
40519,General Atlantic Investment Partners 2008,2008,2023-12-31,100.0,185.3425429,4.6247802,13.9974885,1.8996732,8.1,2.0,General Atlantic,Growth,North America,Sloan Kettering Cancer Center
8807,Providence Equity Partners VI,2007,2024-06-30,131.0947824,135.7651262,0.2866085,5.93,1.3605173,10.55,3.0,Washington State Investment Board,Buyout,North America,Sloan Kettering Cancer Center
5495,Blackstone Capital Partners V,2006,2024-12-31,,,,8.0,,8.0,2.0,Public Filings - US,Buyout,North America,Sloan Kettering Cancer Center
5531,Madison Dearborn Capital Partners V,2006,2024-06-30,117.204298,154.7781365,0.0168358,8.0,1.5479497,8.0,2.0,CalPERS - California Public Employees' Retirement System,Buyout,North America,Sloan Kettering Cancer Center
6242,Trinity Ventures IX,2006,2024-12-31,94.4,135.2951907,0.0,8.0,1.3529519,2.12,1.0,Regents of the University of California,,North America,Sloan Kettering Cancer Center
7662,First Reserve Fund XI,2006,2024-09-30,114.0333333,65.7994738,0.0,-10.7,0.6579947,10.8,3.0,Oregon State Treasury,Growth,North America,Sloan Kettering Cancer Center
4466,Providence Equity Partners V,2005,2024-12-31,129.8470607,116.2764727,0.0,,1.1627647,9.9,4.0,State Teachers' Retirement System of Ohio,Buyout,North America,Sloan Kettering Cancer Center
5910,HarbourVest International V Partnership,2005,2024-06-30,96.0,165.4660139,0.1255024,8.0,1.6559152,7.2,2.0,HarbourVest Partners,Fund of Funds,Europe,Sloan Kettering Cancer Center
320,Blackstone Capital Partners IV,2003,2024-12-31,,,,36.0,,14.15,1.0,Public Filings - US,Buyout,North America,Sloan Kettering Cancer Center
3167,Landmark Equity Partners XI,2002,2024-12-31,95.0,154.0,0.0,22.6,1.54,7.5,2.0,Landmark Partners,Secondaries,North America,Sloan Kettering Cancer Center
930,HarbourVest International Private Equity IV Partnership,2001,2024-12-31,97.5,178.3062,0.0,14.2,1.783062,12.9,2.0,HarbourVest Partners,Fund of Funds,Europe,Sloan Kettering Cancer Center
1164,Landmark Equity Partners X,2000,2024-12-31,95.07314,120.1075439,0.0,4.1,1.2010754,5.45,3.0,Houston Firefighters' Relief and Retirement Fund,Secondaries,North America,Sloan Kettering Cancer Center
1835,Thomas H Lee V,2000,2024-12-31,104.76,167.54,0.0,13.7,1.6754,20.11,3.0,Thomas H. Lee Partners,Buyout,North America,Sloan Kettering Cancer Center
1958,"Welsh, Carson, Anderson & Stowe IX",2000,2024-12-31,99.0,166.18,0.0,11.23,1.6618,20.11,3.0,"Welsh, Carson, Anderson & Stowe",Buyout,North America,Sloan Kettering Cancer Center
456,Charles River XI,2000,2024-12-31,100.0,130.1697141,0.0,7.97,1.3016971,0.65,2.0,Pennsylvania State Employees' Retirement System,,North America,Sloan Kettering Cancer Center
1161,Landmark Equity Partners IX,1999,2024-12-31,96.3,86.0,0.0,-3.1,0.86,15.9,4.0,Landmark Partners,Secondaries,North America,Sloan Kettering Cancer Center
1277,Meritech Capital Partners I,1999,2024-12-31,91.75,0.0,0.0,,0.0,-4.65,4.0,,,North America,Sloan Kettering Cancer Center
1833,Thomas H Lee IV,1998,2024-12-31,90.2137314,86.8432862,0.0,-2.61,0.8684329,4.955,4.0,Los Angeles County Employees' Retirement Association,Buyout,North America,Sloan Kettering Cancer Center
1961,"Welsh, Carson, Anderson & Stowe VIII",1998,2024-12-31,100.0,128.69,0.0,3.11,1.2869,4.955,3.0,California State Teachers' Retirement System (CalSTRS),Buyout,North America,Sloan Kettering Cancer Center
350,Brentwood Associates IX,1998,2024-12-31,100.0,144.62345,0.0,9.71,1.4462345,3.395,2.0,Orange County Employees' Retirement System,,North America,Sloan Kettering Cancer Center
633,Doughty Hanson & Co III,1998,2024-12-31,91.7,217.6,0.0,13.7,2.176,4.955,1.0,DH Private Equity Partners,Buyout,Europe,Sloan Kettering Cancer Center
126571,PSG Encore,2023,2024-06-30,51.177147,0.1445665,96.6693923,n/m,0.9681396,,,CalPERS - California Public Employees' Retirement System,Buyout,North America,State of Wisconsin Investment Board
131493,LightBay Investment Partners II,2023,2024-06-30,17.4873147,0.7231299,48.3337026,n/m,0.4905683,,,Florida State Board of Administration,Buyout,North America,State of Wisconsin Investment Board
136957,Tritium III,2023,2024-03-31,25.731131,0.0,95.0537153,n/m,0.9505372,,,Texas Municipal Retirement System,Buyout,North America,State of Wisconsin Investment Board
140614,PSG Europe II,2023,2024-06-30,16.3,3.87,110.03,n/m,1.139,,,Teachers' Retirement System of the State of Illinois,Growth,Europe,State of Wisconsin Investment Board
142737,Francisco Partners VII,2023,2024-09-30,7.05,0.0,77.3634043,,0.773634,,,Oklahoma Police Pension and Retirement System,Buyout,North America,State of Wisconsin Investment Board
142740,Green Equity Investors IX,2023,2024-03-31,31.2986842,10.0,120.0,n/m,1.3,,,Leonard Green & Partners,Buyout,North America,State of Wisconsin Investment Board
149543,Shamrock Capital Content Fund III,2023,2024-06-30,3.8102173,0.0,0.6057397,,0.0060574,,,Maryland State Retirement and Pension System,Buyout,North America,State of Wisconsin Investment Board
150190,Varsity Healthcare Partners IV,2023,2023-12-31,48.007744,0.0684306,90.0040877,n/m,0.9007252,,,State of Wisconsin Investment Board,Buyout,North America,State of Wisconsin Investment Board
152872,Inflexion Partnership Capital III,2023,2024-09-30,5.6646459,0.0,76.4245727,,0.7642457,,,Inflexion Private Equity Partners,Growth,Europe,State of Wisconsin Investment Board
155305,The Resolute Fund VI,2023,2024-09-30,26.6,0.0,102.76,n/m,1.0276,,,TJC,Buyout,North America,State of Wisconsin Investment Board
155329,CVC Capital Partners Fund IX,2023,2024-03-31,40.9241231,6.9143345,96.9461683,n/m,1.038605,,,El Paso County Retirement Plan,Buyout,Europe,State of Wisconsin Investment Board
155373,HG Mercury 4,2023,2024-09-30,13.3,0.0,89.2308075,,0.8923081,,,Hg,Buyout,Europe,State of Wisconsin Investment Board
156594,Waterland Private Equity Fund IX,2023,2024-06-30,14.0,0.0,91.24,,0.9124,,,Waterland Private Equity Investments,Buyout,Europe,State of Wisconsin Investment Board
158067,KLH Capital Fund V,2023,2023-12-31,18.76606,0.0,91.2287182,n/m,0.9122872,,,State of Wisconsin Investment Board,Buyout,North America,State of Wisconsin Investment Board
160070,LEA Mittelstandspartner II,2023,2023-12-31,79.96,2.2476671,103.05,n/m,1.0529767,,,State of Wisconsin Investment Board,Buyout,Europe,State of Wisconsin Investment Board
164131,Cortec Group Fund VIII,2023,2024-06-30,14.3466667,22.4907063,61.5938662,n/m,0.8408457,,,Public Employees' Retirement System of Nevada,Buyout,North America,State of Wisconsin Investment Board
165884,Ashbridge Annex Fund I,2023,2024-06-30,34.712962,0.0,110.9268693,,1.1092687,,,State Teachers' Retirement System of Ohio,Buyout,North America,State of Wisconsin Investment Board
173360,SGV23,2023,2023-12-31,91.0272025,4.688947,93.3654297,n/m,0.9805438,,,State of Wisconsin Investment Board,,North America,State of Wisconsin Investment Board
178858,VIA equity Fund V K/S,2023,2024-09-30,9.1,0.0,64.0,,0.64,,,Via Equity,Buyout,Europe,State of Wisconsin Investment Board
110998,Bridgepoint Europe VII,2022,2024-09-30,24.42,8.61,84.44,-10.9,0.9305,1.3296704,3.0,Minnesota State Board of Investment,Buyout,Europe,State of Wisconsin Investment Board
118559,FountainVest Capital Partners Fund IV,2022,2024-06-30,35.95645,0.3005002,67.0894285,-16.25,0.6738993,3.25,4.0,Washington State Investment Board,Growth,Asia,State of Wisconsin Investment Board
124652,Recognize Partners I,2022,2024-06-30,54.3180412,0.0796415,107.7847984,5,1.0786444,7.345,2.0,CalPERS - California Public Employees' Retirement System,Buyout,North America,State of Wisconsin Investment Board
131656,NovaQuest Private Equity Fund II,2022,2024-06-30,61.5655733,5.6367623,98.6293341,2.78,1.042661,3.18,3.0,New Mexico Educational Retirement Board,Growth,North America,State of Wisconsin Investment Board
135152,Clearlake Capital Partners VII,2022,2024-09-30,71.9,,,6.98,,12.435,3.0,Clearlake Capital Group,,North America,State of Wisconsin Investment Board
136079,Thoma Bravo Fund XV,2022,2024-09-30,67.8757489,0.0,129.6119204,15,1.2961192,10.375,1.0,Thoma Bravo,Buyout,North America,State of Wisconsin Investment Board
136081,Thoma Bravo Discover Fund IV,2022,2024-09-30,56.5381589,0.0,125.0249718,17.9,1.2502497,10.375,2.0,Thoma Bravo,Buyout,North America,State of Wisconsin Investment Board
138367,LFM Capital Partners III,2022,2023-12-31,60.0527514,7.4835967,114.8822205,20.45,1.2236582,14.2,2.0,State of Wisconsin Investment Board,Buyout,North America,State of Wisconsin Investment Board
138601,Sixth Street Growth Partners II,2022,2024-06-30,36.940307,6.9694683,101.159116,7.83,1.0812858,3.18,2.0,Teachers' Retirement System of the State of Illinois,Growth,North America,State of Wisconsin Investment Board
138825,Ridgemont Equity Partners IV,2022,2024-09-30,50.6666667,0.0,113.1578947,,1.1315789,8.15,2.0,Fairfax Educational Employees' Retirement System,Buyout,North America,State of Wisconsin Investment Board
138998,Hg Genesis 10,2022,2024-09-30,20.0,0.0,120.5108521,18.3843052,1.2051085,1.3296704,1.0,Hg,Buyout,Europe,State of Wisconsin Investment Board
139074,GTCR Strategic Growth Fund,2022,2024-09-30,39.8461538,0.0,108.8803089,8.2489472,1.0888031,3.18,2.0,Oregon State Treasury,Growth,North America,State of Wisconsin Investment Board
139517,PeakSpan Capital Growth Partners III,2022,2023-12-31,35.156274,0.0,102.5640317,2.11,1.0256403,3.18,3.0,State of Wisconsin Investment Board,Growth,North America,State of Wisconsin Investment Board
139644,TSG 9,2022,2024-09-30,29.708705,,86.6235873,-12.73,,10.375,4.0,Los Angeles County Employees' Retirement Association,Buyout,North America,State of Wisconsin Investment Board
139918,Providence Equity Partners IX,2022,2024-06-30,33.063501,18.6381805,87.312744,12.76,1.0595092,8.9,2.0,Washington State Investment Board,Buyout,North America,State of Wisconsin Investment Board
140428,Nonantum Capital II,2022,2023-12-31,33.61067,1.6234527,126.8337208,27.34,1.2845717,7.345,1.0,State of Wisconsin Investment Board,Buyout,North America,State of Wisconsin Investment Board
141201,Turn/River Capital V,2022,2023-12-31,29.63534,0.0,88.0755881,-9.3,0.8807559,7.345,3.0,State of Wisconsin Investment Board,Buyout,North America,State of Wisconsin Investment Board
141957,Blackstone Capital Partners IX,2022,2024-06-30,103.0503867,36.5087409,108.0377638,,1.445465,10.375,1.0,State Teachers' Retirement System of Ohio,Buyout,North America,State of Wisconsin Investment Board
141998,Jade Equity Investors II,2022,2024-06-30,47.5532567,0.0,109.3903878,,1.0939039,8.15,2.0,New York City Police Pension Fund,Buyout,North America,State of Wisconsin Investment Board
142285,Hg Saturn 3,2022,2024-09-30,54.1,0.0,113.9602799,20.1565519,1.1396028,1.3296704,1.0,Hg,Buyout,Europe,State of Wisconsin Investment Board
142649,JMI Equity Fund XI,2022,2024-09-30,35.5555556,0.0,112.5,,1.125,3.18,2.0,Fairfax Educational Employees' Retirement System,Growth,North America,State of Wisconsin Investment Board
142679,TPG Asia VIII,2022,2024-12-31,,,,11,,9.75,2.0,Public Filings - US,Buyout,Asia,State of Wisconsin Investment Board
142808,EQT X,2022,2024-06-30,18.8231173,5.5449095,81.2543465,-16.17,0.8679926,1.3296704,4.0,Houston Firefighters' Relief and Retirement Fund,Buyout,Europe,State of Wisconsin Investment Board
142883,Radian Capital Partners III,2022,2023-12-31,29.8594214,0.0,87.1024915,-19.51,0.8710249,-3.71,3.0,State of Wisconsin Investment Board,,North America,State of Wisconsin Investment Board
144552,Polaris Growth Fund II,2022,2024-09-30,42.0,0.0,97.84,,0.9784,3.18,3.0,Polaris Partners,Growth,North America,State of Wisconsin Investment Board
144767,Shore Capital Food & Beverage Partners Fund II,2022,2023-12-31,32.0,0.0,98.5037946,-2,0.9850379,14.2,3.0,State of Wisconsin Investment Board,Buyout,North America,State of Wisconsin Investment Board
145422,Updata Partners VII,2022,2024-06-30,39.75,0.0,110.7539119,14.7032833,1.1075391,-3.71,1.0,Oregon Growth Board,,North America,State of Wisconsin Investment Board
145646,Water Street Healthcare Partners V,2022,2024-06-30,27.2139535,0.0,82.6183558,-17.2439468,0.8261836,7.345,4.0,Maine Public Employees' Retirement System,Buyout,North America,State of Wisconsin Investment Board
146113,Centerbridge Seaport Acquisition Fund,2022,2023-12-31,90.147235,0.0,104.2545814,2.56,1.0425458,8.9,3.0,State of Wisconsin Investment Board,Buyout,North America,State of Wisconsin Investment Board
149560,Procuritas Capital Investors VII,2022,2023-12-31,29.23,0.68,83.14,-18.96,0.8382,20.9,4.0,State of Wisconsin Investment Board,Buyout,Europe,State of Wisconsin Investment Board
151068,Quantum Energy Partners VIII Co-Investment	,2022,2024-09-30,69.25,42.599278,69.3140794,18.4193289,1.1191336,11.2,2.0,Oregon State Treasury,Co-Investment,North America,State of Wisconsin Investment Board
156264,Align Capital Partners Fund III,2022,2023-12-31,11.0673742,0.0,88.9680462,-52.52,0.8896805,7.345,4.0,State of Wisconsin Investment Board,Buyout,North America,State of Wisconsin Investment Board
156711,Percheron Capital Fund II,2022,2024-06-30,4.499656,0.0,22.4370041,,0.22437,8.15,4.0,State Teachers' Retirement System of Ohio,Buyout,North America,State of Wisconsin Investment Board
157743,Rivean Capital Continuation Fund,2022,2023-12-31,81.6621365,5.1399766,123.6741867,15.86,1.2881416,,,State of Wisconsin Investment Board,Buyout,Europe,State of Wisconsin Investment Board
158072,Kohlberg Investors X,2022,2024-09-30,12.0593773,0.0,111.5650968,11.57,1.115651,8.15,2.0,Public Employee Retirement System of Idaho,Buyout,North America,State of Wisconsin Investment Board
158148,Seaside Equity Partners II,2022,2023-12-31,5.1451692,0.0,149.007852,174.81,1.4900785,-3.71,1.0,State of Wisconsin Investment Board,,North America,State of Wisconsin Investment Board
104216,Ares Corporate Opportunities Fund VI,2021,2024-12-31,,,,17,,9.47,2.0,Public Filings - US,Buyout,North America,State of Wisconsin Investment Board
105645,Thoma Bravo Fund XIV,2021,2024-09-30,105.2652588,19.6682781,104.4288691,8.2,1.2409715,9.47,2.0,Thoma Bravo,Buyout,North America,State of Wisconsin Investment Board
107298,Livingbridge 7,2021,2024-09-30,60.6,0.3,106.8,3,1.071,7.57,3.0,Livingbridge,Buyout,Europe,State of Wisconsin Investment Board
109547,The Resolute Fund V,2021,2024-09-30,87.34,0.65,159.48,21.9,1.6013,9.47,1.0,TJC,Buyout,North America,State of Wisconsin Investment Board
109820,Great Range Capital Fund II,2021,2023-12-31,83.5585109,53.0028071,84.8872388,28.81,1.3789005,18.0,2.0,State of Wisconsin Investment Board,Buyout,North America,State of Wisconsin Investment Board
110388,Francisco Partners VI,2021,2024-09-30,93.9547595,12.8503776,125.8932257,15.5,1.387436,9.47,2.0,Francisco Partners,Buyout,North America,State of Wisconsin Investment Board
113689,Ashbridge Transformational Secondaries Fund II,2021,2023-12-31,59.0,0.4431983,136.1598068,18.62,1.3660301,18.62,2.0,State of Wisconsin Investment Board,Secondaries,North America,State of Wisconsin Investment Board
114033,Telescope Partners II,2021,2023-12-31,67.5,0.0,93.1414443,-4.62,0.9314144,6.14,4.0,State of Wisconsin Investment Board,Growth,North America,State of Wisconsin Investment Board
116189,Charlesbank Equity Fund X,2021,2024-09-30,73.3333333,5.4545455,123.6363636,14.6,1.2909091,13.06,2.0,Fairfax Educational Employees' Retirement System,Buyout,North America,State of Wisconsin Investment Board
117396,Seaside Equity Partners Fund I,2021,2023-12-31,81.768656,10.5561623,146.0291949,39.59,1.5658536,18.0,1.0,State of Wisconsin Investment Board,Buyout,North America,State of Wisconsin Investment Board
119861,Waterland Private Equity Fund VIII,2021,2024-09-30,69.7790528,,131.460309,15,,7.57,1.0,Waterland Private Equity Investments,Buyout,Europe,State of Wisconsin Investment Board
120624,Charlesbank Equity Overage Fund X,2021,2024-06-30,99.5121725,0.8344708,148.2092163,25.07,1.4904369,12.6,1.0,Teachers' Retirement System of the State of Illinois,Co-Investment,North America,State of Wisconsin Investment Board
122117,JMI Equity Fund X,2021,2024-09-30,100.0,8.0,124.0,13.3,1.32,6.14,1.0,Fairfax Educational Employees' Retirement System,Growth,North America,State of Wisconsin Investment Board
122571,Activant Capital IV,2021,2023-12-31,72.126634,0.0126389,81.7597893,-15.8,0.8177243,6.14,4.0,State of Wisconsin Investment Board,Growth,North America,State of Wisconsin Investment Board
123858,Avenue Growth Partners Fund I,2021,2023-12-31,61.35,0.0740109,116.3277588,9.95,1.1640177,6.14,2.0,State of Wisconsin Investment Board,Growth,North America,State of Wisconsin Investment Board
124095,Hellman & Friedman Capital Partners X,2021,2024-09-30,77.0179368,12.7548304,106.6743559,8.6,1.1942919,9.47,3.0,Hellman & Friedman,Buyout,North America,State of Wisconsin Investment Board
125143,Insight Partners XII,2021,2024-09-30,86.7346939,0.0,94.1176471,-2.3860635,0.9411765,6.0,3.0,Devon County Council Pension Fund,Growth,Diversified Multi-Regional,State of Wisconsin Investment Board
125669,Percheron Capital Fund I,2021,2023-12-31,78.6053414,3.0086523,142.7999395,25.81,1.4580859,14.255,1.0,State of Wisconsin Investment Board,Buyout,North America,State of Wisconsin Investment Board
125919,VMG Partners V,2021,2023-12-31,46.286724,4.1930295,145.5149602,33.45,1.4970799,14.255,1.0,State of Wisconsin Investment Board,Buyout,North America,State of Wisconsin Investment Board
126777,Denali Growth Partners Fund I,2021,2023-12-31,40.739742,1.3283049,115.3844813,10.17,1.1671279,6.14,2.0,State of Wisconsin Investment Board,Growth,North America,State of Wisconsin Investment Board
127243,Atlas Capital Resources IV,2021,2024-06-30,72.2188533,29.2798704,96.9007428,23.8,1.2618061,10.03,1.0,Florida State Board of Administration,Turnaround,North America,State of Wisconsin Investment Board
127486,Anthos Capital V,2021,2023-12-31,56.272708,0.0020223,96.9758591,-1.72,0.9697788,1.6,3.0,State of Wisconsin Investment Board,,North America,State of Wisconsin Investment Board
127512,Prairie Capital VII,2021,2024-06-30,53.0,,100.0,0,,18.0,3.0,Ventura County Employees' Retirement Association,Buyout,North America,State of Wisconsin Investment Board
127571,PSG V,2021,2024-03-31,75.448787,9.1338208,102.8156437,9.36,1.1194946,6.14,2.0,Washington State Investment Board,Growth,North America,State of Wisconsin Investment Board
127648,New State Capital Partners Fund III,2021,2024-09-30,53.6685,1.4700988,128.981395,,1.3045149,18.0,3.0,St. Paul Teachers' Retirement Fund Association,Buyout,North America,State of Wisconsin Investment Board
130730,Insight Partners XII Buyout Annex Fund,2021,2024-06-30,90.5,0.1987425,122.667863,11.3,1.2286661,12.6,3.0,Teacher Retirement System of Texas,Co-Investment,North America,State of Wisconsin Investment Board
131229,Flexpoint Asset Opportunity Fund II,2021,2023-12-31,37.236656,21.1914357,101.7696809,26.15,1.2296112,12.6,2.0,State of Wisconsin Investment Board,Co-Investment,North America,State of Wisconsin Investment Board
131498,Aldrich Capital Partners Fund II,2021,2024-06-30,32.0187895,0.0,91.2066303,-7.58,0.9120663,6.14,4.0,State of Connecticut Retirement Plans and Trust Funds,Growth,North America,State of Wisconsin Investment Board
131867,Trident IX,2021,2024-09-30,66.4091241,1.4253833,124.2175918,19.7,1.2564298,9.47,1.0,Stone Point Capital,Buyout,North America,State of Wisconsin Investment Board
132696,Sprints IV,2021,2024-09-30,60.0,0.0,110.0,,1.1,15.7598192,2.0,Sprints ,Growth,Europe,State of Wisconsin Investment Board
133092,FP Credit Partners Phoenix II,2021,2024-03-31,58.3,0.0,113.0,11.3,1.13,12.3,3.0,Francisco Partners,,North America,State of Wisconsin Investment Board
133308,Shore Capital Healthcare Partners Fund IV,2021,2023-12-31,60.0,0.0,134.6625,35.61,1.346625,18.0,2.0,State of Wisconsin Investment Board,Buyout,North America,State of Wisconsin Investment Board
133312,Shore Capital Business Services Partners Fund I,2021,2023-12-31,31.0,0.0,144.3706452,40.52,1.4437065,18.0,1.0,State of Wisconsin Investment Board,Buyout,North America,State of Wisconsin Investment Board
133933,Elephant Partners IV,2021,2023-12-31,68.799995,0.0,98.1250289,-1.39,0.9812503,0.0,3.0,State of Wisconsin Investment Board,,North America,State of Wisconsin Investment Board
134182,STG Allegro,2021,2024-09-30,33.8587467,,112.0439622,11.96,,14.255,3.0,Los Angeles County Employees' Retirement Association,Buyout,North America,State of Wisconsin Investment Board
136531,Aterian Investment Partners IV,2021,2023-12-31,26.344714,20.7844124,99.4882693,15.32,1.2027268,14.255,2.0,State of Wisconsin Investment Board,Buyout,North America,State of Wisconsin Investment Board
137904,Hedosophia Partners V,2021,2023-12-31,97.341518,0.4037126,93.8552941,-2.92,0.9425901,4.015,3.0,State of Wisconsin Investment Board,,Europe,State of Wisconsin Investment Board
137926,Water Street Orion Fund,2021,2024-06-30,96.1066667,0.0,121.5420366,,1.2154204,14.255,3.0,Texas County & District Retirement System,Buyout,North America,State of Wisconsin Investment Board
139268,Adelis Equity Partners Fund III,2021,2024-06-30,44.8,0.0,98.0,,0.98,18.5,4.0,Texas County & District Retirement System,Buyout,Europe,State of Wisconsin Investment Board
139590,Avenir Growth Partners IV,2021,2023-12-31,46.9183387,0.0082668,86.8050855,-13.05,0.8681335,6.14,4.0,State of Wisconsin Investment Board,Growth,North America,State of Wisconsin Investment Board
140610,Pegasus WSJLL Fund,2021,2024-06-30,86.7870968,0.0084958,117.0808377,6.278494,1.1708933,13.3,3.0,Texas County & District Retirement System,Buyout,North America,State of Wisconsin Investment Board
101661,Providence Strategic Growth Europe,2020,2024-06-30,94.0,24.0,114.0,20,1.38,11.85,2.0,Providence Equity Partners,Growth,Europe,State of Wisconsin Investment Board
102545,Jade Equity Investors,2020,2024-09-30,95.2,21.2796028,147.4178762,20.7,1.6869748,17.46,1.0,Leonard Green & Partners,Buyout,North America,State of Wisconsin Investment Board
102554,EQT IX,2020,2024-06-30,106.2007957,12.2333431,102.2661233,6,1.1449947,12.0,4.0,CalPERS - California Public Employees' Retirement System,Buyout,Europe,State of Wisconsin Investment Board
102774,Flexpoint Fund IV,2020,2024-06-30,80.7558216,33.4778521,123.8696377,23.69,1.5734749,17.46,1.0,Ventura County Employees' Retirement Association,Buyout,North America,State of Wisconsin Investment Board
104973,Council Capital IV,2020,2024-09-30,43.2,0.0,137.03,17.1,1.3703,11.755,2.0,Council Capital,Growth,North America,State of Wisconsin Investment Board
105000,Hg Genesis 9,2020,2024-09-30,91.6,18.7102692,123.5577328,18.9600029,1.42268,12.0,1.0,Hg,Buyout,Europe,State of Wisconsin Investment Board
105005,Hg Saturn 2,2020,2024-09-30,92.9,29.550519,120.2642239,21.0302536,1.4981474,12.0,1.0,Hg,Buyout,Europe,State of Wisconsin Investment Board
106466,Kohlberg Investors IX,2020,2024-09-30,87.95484,5.4340455,157.0241933,22.18,1.6245824,17.46,1.0,Public Employee Retirement System of Idaho,Buyout,North America,State of Wisconsin Investment Board
106703,Clearlake Capital Partners VI,2020,2024-09-30,124.5,29.0,128.0,16.09,1.57,11.65,1.0,Clearlake Capital Group,,North America,State of Wisconsin Investment Board
107541,Shamrock Capital Content Fund II,2020,2024-06-30,83.025,36.2180066,87.2387835,11.25,1.2345679,13.1,3.0,Sacramento County Employees' Retirement System,Buyout,North America,State of Wisconsin Investment Board
107598,Volition Capital Select Fund I,2020,2023-12-31,50.9,0.0,91.1276031,-4.06,0.911276,17.2,4.0,State of Wisconsin Investment Board,Co-Investment,North America,State of Wisconsin Investment Board
107608,Turn/River Capital IV (AI),2020,2023-12-31,71.971244,11.3338044,126.423242,18.57,1.3775705,13.1,2.0,State of Wisconsin Investment Board,Buyout,North America,State of Wisconsin Investment Board
109316,Starquest,2020,2024-09-30,76.6,,129.21,13.94,,6.145,2.0,Los Angeles County Employees' Retirement Association,,Europe,State of Wisconsin Investment Board
109355,American Pacific Group Fund I,2020,2023-12-31,75.5544,13.2668874,105.4785426,12.54,1.1874543,13.1,3.0,State of Wisconsin Investment Board,Buyout,North America,State of Wisconsin Investment Board
